,method,cluster_key,metric,value
0,CASTLE,Dlouvain,ARI,0.7770014524007103
1,CASTLE,Dlouvain,AMI,0.8532397662613767
2,CASTLE,Dlouvain,NMI,0.8546402234352594
3,CASTLE,Dlouvain,FMI,0.827591429740304
4,CASTLE,Clouvain,ARI,0.675262274831636
5,CASTLE,Clouvain,AMI,0.8192949361053143
6,CASTLE,Clouvain,NMI,0.8211229935387374
7,CASTLE,Clouvain,FMI,0.7491955436411967
8,CASTLE,Dleiden,ARI,0.6990981747251805
9,CASTLE,Dleiden,AMI,0.8219379566073192
10,CASTLE,Dleiden,NMI,0.823746320285758
11,CASTLE,Dleiden,FMI,0.7680069892070233
12,CASTLE,Cleiden,ARI,0.8577829739424118
13,CASTLE,Cleiden,AMI,0.8742541283121491
14,CASTLE,Cleiden,NMI,0.875563699520677
15,CASTLE,Cleiden,FMI,0.8902266176031157
16,CASTLE,Ckmeans,ARI,0.5501390651968079
17,CASTLE,Ckmeans,AMI,0.7805649392939598
18,CASTLE,Ckmeans,NMI,0.7826597321778206
19,CASTLE,Ckmeans,FMI,0.656050180123266
20,CASTLE,Chc,ARI,0.7484597607501744
21,CASTLE,Chc,AMI,0.8052419008387177
22,CASTLE,Chc,NMI,0.8072517139333913
23,CASTLE,Chc,FMI,0.804610125878338
